Date,Time,Line to Neutral Voltage
28/08/2023,06:53:04 pm,254.15
28/08/2023,06:53:34 pm,255.14
28/08/2023,06:54:04 pm,256.6
28/08/2023,06:54:34 pm,255.74
28/08/2023,06:55:04 pm,255.55
28/08/2023,06:55:34 pm,253.69
28/08/2023,06:56:04 pm,253.44
28/08/2023,06:56:34 pm,254.94
28/08/2023,06:57:04 pm,254.49
28/08/2023,06:57:34 pm,255.08
28/08/2023,06:58:04 pm,255.14
28/08/2023,06:58:35 pm,254.5
28/08/2023,06:59:04 pm,254.58
28/08/2023,06:59:34 pm,252.68
28/08/2023,07:00:04 pm,253.94
28/08/2023,07:00:34 pm,254.61
28/08/2023,07:01:04 pm,255.54
28/08/2023,07:01:34 pm,257.34
28/08/2023,07:02:04 pm,256.84
28/08/2023,07:02:34 pm,255.91
28/08/2023,07:03:04 pm,254.67
28/08/2023,07:03:34 pm,254.69
28/08/2023,07:04:04 pm,255.22
28/08/2023,07:04:34 pm,254.57
28/08/2023,07:05:04 pm,254.63
28/08/2023,07:05:34 pm,254.45
28/08/2023,07:06:04 pm,253.97
28/08/2023,07:06:34 pm,253.88
28/08/2023,07:07:04 pm,254.04
28/08/2023,07:07:34 pm,255.87
28/08/2023,07:08:04 pm,254.18
28/08/2023,07:08:34 pm,255.81
28/08/2023,07:09:04 pm,253.32
28/08/2023,07:09:34 pm,252.93
28/08/2023,07:10:04 pm,251.36
28/08/2023,07:10:34 pm,253.6
28/08/2023,07:11:04 pm,254.73
28/08/2023,07:11:34 pm,253.34
28/08/2023,07:12:04 pm,253.42
28/08/2023,07:12:34 pm,253.01
28/08/2023,07:13:04 pm,252.62
28/08/2023,07:13:34 pm,253.57
28/08/2023,07:14:04 pm,253.83
28/08/2023,07:14:34 pm,253.2
28/08/2023,07:15:04 pm,252.91
28/08/2023,07:15:34 pm,252.24
28/08/2023,07:16:04 pm,252.99
28/08/2023,07:16:34 pm,255.18
28/08/2023,07:17:04 pm,254.38
28/08/2023,07:17:34 pm,255.01
28/08/2023,07:18:04 pm,251.66
28/08/2023,07:18:34 pm,253.89
28/08/2023,07:19:04 pm,253.09
28/08/2023,07:19:34 pm,253.55
28/08/2023,07:20:04 pm,252.82
28/08/2023,07:20:34 pm,252.26
28/08/2023,07:21:04 pm,253.65
28/08/2023,07:21:34 pm,254.22
28/08/2023,07:22:04 pm,253.09
28/08/2023,07:22:34 pm,254.66
28/08/2023,07:23:04 pm,253.05
28/08/2023,07:23:34 pm,253.58
28/08/2023,07:24:04 pm,253.02
28/08/2023,07:24:34 pm,252.11
28/08/2023,07:25:44 pm,252.66
28/08/2023,07:26:07 pm,252.62
28/08/2023,07:26:34 pm,251.87
28/08/2023,07:27:04 pm,251.47
28/08/2023,07:27:34 pm,252.85
28/08/2023,07:28:04 pm,252.26
28/08/2023,07:28:34 pm,252.48
28/08/2023,07:29:04 pm,252.34
28/08/2023,07:29:34 pm,253.39
28/08/2023,07:30:04 pm,252.9
28/08/2023,07:30:34 pm,253.09
28/08/2023,07:31:04 pm,253.75
28/08/2023,07:31:34 pm,253.86
28/08/2023,07:32:04 pm,255.31
28/08/2023,07:32:34 pm,253.93
28/08/2023,07:33:04 pm,252.99
28/08/2023,07:33:34 pm,251.52
28/08/2023,07:34:04 pm,252.8
28/08/2023,07:34:34 pm,252.29
28/08/2023,07:35:04 pm,252.14
28/08/2023,07:35:34 pm,252.1
28/08/2023,07:36:04 pm,252.14
28/08/2023,07:36:34 pm,250.96
28/08/2023,07:37:04 pm,251.62
28/08/2023,07:37:33 pm,249.85
28/08/2023,07:38:04 pm,249.89
28/08/2023,07:38:34 pm,249.89
28/08/2023,07:39:04 pm,250.12
28/08/2023,07:39:34 pm,248.71
28/08/2023,07:40:04 pm,251.63
28/08/2023,07:40:34 pm,252.24
28/08/2023,07:41:04 pm,254.6
28/08/2023,07:41:34 pm,252.1
28/08/2023,07:42:04 pm,254.71
28/08/2023,07:42:34 pm,254.11
28/08/2023,07:43:04 pm,256.68
28/08/2023,07:43:34 pm,255.47
28/08/2023,07:44:04 pm,256.34
28/08/2023,07:44:34 pm,255.43
28/08/2023,07:45:04 pm,254.35
28/08/2023,07:45:34 pm,255
28/08/2023,07:46:04 pm,255.7
28/08/2023,07:46:34 pm,255.61
28/08/2023,07:47:04 pm,254.97
28/08/2023,07:47:34 pm,256.1
28/08/2023,07:48:04 pm,255.21
28/08/2023,07:48:34 pm,255.55
28/08/2023,07:49:04 pm,254.97
28/08/2023,07:50:13 pm,255.93
28/08/2023,07:50:36 pm,256.86
28/08/2023,07:51:04 pm,254.47
28/08/2023,07:51:34 pm,254.09
28/08/2023,07:52:04 pm,254.04
28/08/2023,07:52:34 pm,254.13
28/08/2023,07:53:04 pm,255.81
28/08/2023,07:53:34 pm,255.93
28/08/2023,07:54:04 pm,256.45
28/08/2023,07:54:34 pm,255.63
28/08/2023,07:55:04 pm,256.24
28/08/2023,07:55:34 pm,255.05
28/08/2023,07:56:04 pm,255.81
28/08/2023,07:56:34 pm,254.97
28/08/2023,07:57:04 pm,257.29
28/08/2023,07:57:34 pm,258.32
28/08/2023,07:58:04 pm,256.53
28/08/2023,07:58:34 pm,254.55
28/08/2023,07:59:04 pm,255.8
28/08/2023,07:59:34 pm,257.78
28/08/2023,08:00:04 pm,257.34
28/08/2023,08:00:34 pm,256.59
28/08/2023,08:01:04 pm,258.14
28/08/2023,08:01:34 pm,257.83
28/08/2023,08:02:03 pm,257.55
28/08/2023,08:02:34 pm,256.47
28/08/2023,08:03:44 pm,256.66
28/08/2023,08:04:07 pm,256.37
28/08/2023,08:04:34 pm,256.08
28/08/2023,08:05:04 pm,256.62
28/08/2023,08:05:34 pm,256.73
28/08/2023,08:06:04 pm,254.05
28/08/2023,08:06:34 pm,256.1
28/08/2023,08:07:04 pm,255.65
28/08/2023,08:07:34 pm,259.69
28/08/2023,08:08:04 pm,257.8
28/08/2023,08:08:34 pm,258.21
28/08/2023,08:09:04 pm,257.23
28/08/2023,08:09:34 pm,256.36
28/08/2023,08:10:04 pm,258.47
28/08/2023,08:10:34 pm,255.47
28/08/2023,08:11:04 pm,254.28
28/08/2023,08:11:34 pm,255.96
28/08/2023,08:12:04 pm,252.23
28/08/2023,08:12:34 pm,255.22
28/08/2023,08:13:04 pm,255.17
28/08/2023,08:13:34 pm,254.93
28/08/2023,08:14:04 pm,254.67
28/08/2023,08:14:34 pm,255.41
28/08/2023,08:15:04 pm,254.81
28/08/2023,08:15:33 pm,254.03
28/08/2023,08:16:04 pm,254.68
28/08/2023,08:16:34 pm,257.19
28/08/2023,08:17:04 pm,254.26
28/08/2023,08:17:34 pm,256.88
28/08/2023,08:18:04 pm,254.08
28/08/2023,08:18:34 pm,253.92
28/08/2023,08:19:04 pm,254
28/08/2023,08:19:34 pm,255.29
28/08/2023,08:20:04 pm,255.47
28/08/2023,08:20:34 pm,255.76
28/08/2023,08:21:04 pm,255.51
28/08/2023,08:21:34 pm,255.69
28/08/2023,08:22:04 pm,255.68
28/08/2023,08:22:34 pm,256.1
28/08/2023,08:23:04 pm,255.93
28/08/2023,08:23:34 pm,256
28/08/2023,08:24:04 pm,255.49
28/08/2023,08:24:34 pm,255.63
28/08/2023,08:25:04 pm,255.26
28/08/2023,08:25:34 pm,255.51
28/08/2023,08:26:04 pm,257.81
28/08/2023,08:26:34 pm,256.79
28/08/2023,08:27:04 pm,256.93
28/08/2023,08:27:34 pm,257.09
28/08/2023,08:28:05 pm,258.27
28/08/2023,08:28:34 pm,256.71
28/08/2023,08:29:04 pm,255.72
28/08/2023,08:29:34 pm,257.25
28/08/2023,08:30:04 pm,255.79
28/08/2023,08:30:34 pm,255.55
28/08/2023,08:31:04 pm,255.27
28/08/2023,08:31:34 pm,255.76
28/08/2023,08:32:04 pm,256.85
28/08/2023,08:32:34 pm,256.51
28/08/2023,08:33:04 pm,256.86
28/08/2023,08:33:34 pm,256.19
28/08/2023,08:34:04 pm,257.19
28/08/2023,08:34:34 pm,256.25
28/08/2023,08:35:04 pm,255.79
28/08/2023,08:35:34 pm,256.27
28/08/2023,08:36:04 pm,257.93
28/08/2023,08:36:34 pm,257.21
28/08/2023,08:37:04 pm,255.42
28/08/2023,08:37:34 pm,255.68
28/08/2023,08:38:04 pm,256.74
28/08/2023,08:38:34 pm,254.77
28/08/2023,08:39:04 pm,256.46
28/08/2023,08:39:34 pm,256.2
28/08/2023,08:40:04 pm,255.43
28/08/2023,08:40:34 pm,258.42
28/08/2023,08:41:04 pm,257.85
28/08/2023,08:41:34 pm,257.86
28/08/2023,08:42:04 pm,256.31
28/08/2023,08:42:34 pm,256.92
28/08/2023,08:43:04 pm,256.1
28/08/2023,08:43:34 pm,255.79
28/08/2023,08:44:04 pm,255.83
28/08/2023,08:44:34 pm,255.32
28/08/2023,08:45:04 pm,254.99
28/08/2023,08:45:34 pm,258.66
28/08/2023,08:46:04 pm,256.57
28/08/2023,08:46:34 pm,255.96
28/08/2023,08:47:04 pm,256.08
28/08/2023,08:47:34 pm,255.86
28/08/2023,08:48:04 pm,258.16
28/08/2023,08:48:34 pm,256.38
28/08/2023,08:49:04 pm,255.76
28/08/2023,08:49:34 pm,257.65
28/08/2023,08:50:04 pm,256.11
28/08/2023,08:50:34 pm,257.03
28/08/2023,08:51:04 pm,257.52
28/08/2023,08:51:34 pm,256.71
28/08/2023,08:52:04 pm,257.14
28/08/2023,08:52:34 pm,257.91
28/08/2023,08:53:04 pm,257.64
28/08/2023,08:53:34 pm,257.95
28/08/2023,08:54:04 pm,258.89
28/08/2023,08:54:34 pm,256.95
28/08/2023,08:55:04 pm,258.83
28/08/2023,08:55:34 pm,259.08
28/08/2023,08:56:04 pm,258.07
28/08/2023,08:56:34 pm,258.19
28/08/2023,08:57:04 pm,258.67
28/08/2023,08:57:34 pm,261.56
28/08/2023,08:58:04 pm,259.22
28/08/2023,08:58:34 pm,259.65
28/08/2023,08:59:04 pm,257.05
28/08/2023,08:59:34 pm,258.46
28/08/2023,09:00:04 pm,256.97
28/08/2023,09:00:34 pm,258.73
28/08/2023,09:01:04 pm,258.96
28/08/2023,09:01:34 pm,259.04
28/08/2023,09:02:04 pm,260.43
28/08/2023,09:02:34 pm,257.43
28/08/2023,09:03:04 pm,258.61
28/08/2023,09:03:34 pm,260.1
28/08/2023,09:04:04 pm,260.98
28/08/2023,09:04:34 pm,262.36
28/08/2023,09:05:04 pm,259.13
28/08/2023,09:05:34 pm,260.45
28/08/2023,09:06:04 pm,260.45
28/08/2023,09:06:34 pm,260.78
28/08/2023,09:07:04 pm,260.65
28/08/2023,09:07:34 pm,260.74
28/08/2023,09:08:04 pm,260.79
28/08/2023,09:08:34 pm,260.59
28/08/2023,09:09:04 pm,259.54
28/08/2023,09:09:34 pm,261.54
28/08/2023,09:10:04 pm,258.7
28/08/2023,09:10:34 pm,259.03
28/08/2023,09:11:04 pm,259.92
28/08/2023,09:11:34 pm,260.33
28/08/2023,09:12:04 pm,258.1
28/08/2023,09:12:34 pm,259.85
28/08/2023,09:13:04 pm,258.96
28/08/2023,09:13:34 pm,259.21
28/08/2023,09:14:04 pm,259.06
28/08/2023,09:14:34 pm,261.35
28/08/2023,09:15:04 pm,260.3
28/08/2023,09:15:34 pm,260.64
28/08/2023,09:16:04 pm,260.97
28/08/2023,09:17:15 pm,261.12
28/08/2023,09:17:40 pm,260.97
28/08/2023,09:18:04 pm,261.29
28/08/2023,09:18:34 pm,260.72
28/08/2023,09:19:04 pm,259.91
28/08/2023,09:19:34 pm,259.7
28/08/2023,09:20:04 pm,259.36
28/08/2023,09:20:34 pm,258.94
28/08/2023,09:21:04 pm,259.27
28/08/2023,09:21:34 pm,258.58
28/08/2023,09:22:04 pm,258.31
28/08/2023,09:22:35 pm,259.71
28/08/2023,09:23:04 pm,259.15
28/08/2023,09:23:34 pm,258.92
28/08/2023,09:24:04 pm,258.98
28/08/2023,09:24:34 pm,258.29
28/08/2023,09:25:04 pm,258.52
28/08/2023,09:25:34 pm,258.39
28/08/2023,09:26:04 pm,256.32
28/08/2023,09:26:34 pm,255.57
28/08/2023,09:27:04 pm,254.1
28/08/2023,09:27:34 pm,254.81
28/08/2023,09:28:04 pm,255.63
28/08/2023,09:28:34 pm,255.06
28/08/2023,09:29:04 pm,255.15
28/08/2023,09:29:34 pm,255.5
28/08/2023,09:30:04 pm,254.59
28/08/2023,09:30:34 pm,255.22
28/08/2023,09:31:04 pm,253.91
28/08/2023,09:31:34 pm,254.03
28/08/2023,09:32:04 pm,255.23
28/08/2023,09:32:34 pm,255.81
28/08/2023,09:33:04 pm,257.86
28/08/2023,09:33:34 pm,257.88
28/08/2023,09:34:04 pm,256.07
28/08/2023,09:34:34 pm,257.02
28/08/2023,09:35:04 pm,258.81
28/08/2023,09:35:34 pm,258.72
28/08/2023,09:36:04 pm,258.55
28/08/2023,09:36:34 pm,259.16
28/08/2023,09:37:04 pm,258.73
28/08/2023,09:37:34 pm,259.69
28/08/2023,09:38:04 pm,256.35
28/08/2023,09:38:34 pm,255.61
28/08/2023,09:39:04 pm,256.34
28/08/2023,09:39:34 pm,256.67
28/08/2023,09:40:04 pm,257
28/08/2023,09:40:34 pm,255.79
28/08/2023,09:41:04 pm,251.69
28/08/2023,09:41:34 pm,256.36
28/08/2023,09:42:04 pm,255.72
28/08/2023,09:42:34 pm,255.86
28/08/2023,09:43:04 pm,253.91
28/08/2023,09:43:34 pm,255.06
28/08/2023,09:44:04 pm,255.46
28/08/2023,09:44:34 pm,254.94
28/08/2023,09:45:04 pm,255.53
28/08/2023,09:45:34 pm,255.59
28/08/2023,09:46:04 pm,255.55
28/08/2023,09:46:34 pm,255.45
28/08/2023,09:47:04 pm,255.78
28/08/2023,09:47:34 pm,255.61
28/08/2023,09:48:04 pm,255.12
28/08/2023,09:48:34 pm,254.1
28/08/2023,09:49:04 pm,252.8
28/08/2023,09:49:34 pm,253.33
28/08/2023,09:50:04 pm,252.45
28/08/2023,09:50:34 pm,252.82
28/08/2023,09:51:04 pm,251.55
28/08/2023,09:51:33 pm,251.18
28/08/2023,09:52:04 pm,251.75
28/08/2023,09:52:34 pm,253.87
28/08/2023,09:53:04 pm,253.26
28/08/2023,09:53:35 pm,252.92
28/08/2023,09:54:04 pm,253.95
28/08/2023,09:54:34 pm,253.94
28/08/2023,09:55:04 pm,253.33
28/08/2023,09:55:34 pm,253.32
28/08/2023,09:56:04 pm,252.05
28/08/2023,09:56:34 pm,251.73
28/08/2023,09:57:04 pm,254.71
28/08/2023,09:57:34 pm,253.41
28/08/2023,09:58:04 pm,254.66
28/08/2023,09:58:34 pm,252.74
28/08/2023,09:59:04 pm,252.99
28/08/2023,10:00:15 pm,254.65
28/08/2023,10:00:37 pm,254.02
28/08/2023,10:01:04 pm,255.25
28/08/2023,10:01:34 pm,254
28/08/2023,10:02:04 pm,253.67
28/08/2023,10:02:34 pm,251.94
28/08/2023,10:03:04 pm,252.51
28/08/2023,10:03:34 pm,252.01
28/08/2023,10:04:04 pm,254.03
28/08/2023,10:04:34 pm,253.01
28/08/2023,10:05:04 pm,255.79
28/08/2023,10:05:34 pm,255.66
28/08/2023,10:06:04 pm,254.56
28/08/2023,10:07:12 pm,253.63
28/08/2023,10:07:37 pm,254.21
28/08/2023,10:08:04 pm,255.06
28/08/2023,10:08:34 pm,254.66
28/08/2023,10:09:04 pm,254.16
28/08/2023,10:09:34 pm,255.58
28/08/2023,10:10:04 pm,254.72
28/08/2023,10:10:34 pm,253.91
28/08/2023,10:11:04 pm,254.35
28/08/2023,10:11:34 pm,250.37
28/08/2023,10:12:04 pm,250.81
28/08/2023,10:12:34 pm,252.86
28/08/2023,10:13:04 pm,254.69
28/08/2023,10:13:34 pm,254.84
28/08/2023,10:14:04 pm,255.57
28/08/2023,10:14:34 pm,255.82
28/08/2023,10:15:04 pm,255.94
28/08/2023,10:15:34 pm,255.76
28/08/2023,10:16:04 pm,254.68
28/08/2023,10:16:34 pm,255.26
28/08/2023,10:17:04 pm,257.01
28/08/2023,10:17:34 pm,254.43
28/08/2023,10:18:04 pm,255.97
28/08/2023,10:18:34 pm,255.86
28/08/2023,10:19:04 pm,257.01
28/08/2023,10:19:34 pm,259.1
28/08/2023,10:20:04 pm,255.21
28/08/2023,10:20:34 pm,256.77
28/08/2023,10:21:04 pm,256.99
28/08/2023,10:21:34 pm,256.93
28/08/2023,10:22:04 pm,256.76
28/08/2023,10:22:34 pm,257.88
28/08/2023,10:23:04 pm,256.39
28/08/2023,10:23:34 pm,256.66
28/08/2023,10:24:04 pm,256.5
28/08/2023,10:24:34 pm,254.23
28/08/2023,10:25:04 pm,258.2
28/08/2023,10:25:34 pm,257.29
28/08/2023,10:26:04 pm,257.04
28/08/2023,10:26:34 pm,257.43
28/08/2023,10:27:05 pm,255.85
28/08/2023,10:27:34 pm,257.16
28/08/2023,10:28:04 pm,256.86
28/08/2023,10:28:34 pm,258.12
28/08/2023,10:29:04 pm,257.13
28/08/2023,10:29:34 pm,257.1
28/08/2023,10:30:04 pm,256.83
28/08/2023,10:30:34 pm,258.26
28/08/2023,10:31:04 pm,258.2
28/08/2023,10:31:34 pm,257.49
28/08/2023,10:32:04 pm,257.25
28/08/2023,10:32:34 pm,256.35
28/08/2023,10:33:04 pm,259.79
28/08/2023,10:33:34 pm,256.43
28/08/2023,10:34:04 pm,256.09
28/08/2023,10:34:34 pm,256.14
28/08/2023,10:35:04 pm,254.08
28/08/2023,10:35:34 pm,254.31
28/08/2023,10:36:04 pm,256.23
28/08/2023,10:36:34 pm,258.86
28/08/2023,10:37:04 pm,256.61
28/08/2023,10:37:34 pm,251.78
28/08/2023,10:38:04 pm,255.64
28/08/2023,10:38:34 pm,255.28
28/08/2023,10:39:04 pm,254.07
28/08/2023,10:39:34 pm,255.78
28/08/2023,10:40:04 pm,255.56
28/08/2023,10:40:34 pm,253.8
28/08/2023,10:41:04 pm,254.12
28/08/2023,10:41:34 pm,254.53
28/08/2023,10:42:04 pm,253.89
28/08/2023,10:42:34 pm,254.68
28/08/2023,10:43:04 pm,254.05
28/08/2023,10:43:34 pm,253.85
28/08/2023,10:44:04 pm,252.9
28/08/2023,10:44:34 pm,254.03
28/08/2023,10:45:04 pm,253.51
28/08/2023,10:45:34 pm,251.31
28/08/2023,10:46:04 pm,251.96
28/08/2023,10:46:34 pm,253.61
28/08/2023,10:47:04 pm,252.29
28/08/2023,10:47:34 pm,253.73
28/08/2023,10:48:04 pm,253.87
28/08/2023,10:48:34 pm,255.1
28/08/2023,10:49:04 pm,252.97
28/08/2023,10:49:34 pm,252.3
28/08/2023,10:50:04 pm,253.8
28/08/2023,10:50:34 pm,253.78
28/08/2023,10:51:04 pm,253.83
28/08/2023,10:51:34 pm,253.13
28/08/2023,10:52:04 pm,252.85
28/08/2023,10:52:34 pm,253.11
28/08/2023,10:53:04 pm,250.25
28/08/2023,10:53:34 pm,253.12
28/08/2023,10:54:04 pm,251.63
28/08/2023,10:54:34 pm,252.25
28/08/2023,10:55:04 pm,251.75
28/08/2023,10:55:34 pm,253.2
28/08/2023,10:56:04 pm,252.92
28/08/2023,10:56:34 pm,252.49
28/08/2023,10:57:04 pm,253.21
28/08/2023,10:57:34 pm,254
28/08/2023,10:58:04 pm,254.38
28/08/2023,10:58:34 pm,256.1
28/08/2023,10:59:04 pm,256.67
28/08/2023,10:59:34 pm,255.81
28/08/2023,11:00:44 pm,254.18
28/08/2023,11:01:07 pm,252.98
28/08/2023,11:01:34 pm,253.47
28/08/2023,11:02:04 pm,252.66
28/08/2023,11:02:34 pm,253.57
28/08/2023,11:03:04 pm,251.48
28/08/2023,11:03:34 pm,252.68
28/08/2023,11:04:04 pm,253.6
28/08/2023,11:04:34 pm,252.62
28/08/2023,11:05:04 pm,253.7
28/08/2023,11:05:34 pm,253.38
28/08/2023,11:06:42 pm,251.78
28/08/2023,11:07:07 pm,254.53
28/08/2023,11:07:35 pm,254.28
28/08/2023,11:08:04 pm,253.11
28/08/2023,11:08:34 pm,253.25
28/08/2023,11:09:04 pm,253.42
28/08/2023,11:09:34 pm,254.34
28/08/2023,11:10:04 pm,253.16
28/08/2023,11:10:34 pm,253.74
28/08/2023,11:11:04 pm,251.69
28/08/2023,11:11:34 pm,251.24
28/08/2023,11:12:04 pm,254.39
28/08/2023,11:12:34 pm,252.19
28/08/2023,11:13:04 pm,252.13
28/08/2023,11:13:34 pm,254.96
28/08/2023,11:14:04 pm,253.52
28/08/2023,11:14:34 pm,250.19
28/08/2023,11:15:04 pm,251.86
28/08/2023,11:15:34 pm,253.49
28/08/2023,11:16:04 pm,252.94
28/08/2023,11:16:34 pm,253.33
28/08/2023,11:17:04 pm,249.27
28/08/2023,11:17:34 pm,254.42
28/08/2023,11:18:04 pm,253.51
28/08/2023,11:18:34 pm,253.95
28/08/2023,11:19:04 pm,252
28/08/2023,11:19:34 pm,254
28/08/2023,11:20:04 pm,254.14
28/08/2023,11:21:04 pm,253.79
28/08/2023,11:22:04 pm,253.22
28/08/2023,11:22:34 pm,253.51
28/08/2023,11:23:04 pm,254.27
28/08/2023,11:23:34 pm,254.27
28/08/2023,11:24:04 pm,252.81
28/08/2023,11:24:34 pm,253.03
28/08/2023,11:25:04 pm,250.7
28/08/2023,11:25:34 pm,252.52
28/08/2023,11:26:04 pm,251.22
28/08/2023,11:26:34 pm,251.97
28/08/2023,11:27:04 pm,252.42
28/08/2023,11:27:34 pm,252.41
28/08/2023,11:28:04 pm,251.29
28/08/2023,11:28:34 pm,249.97
28/08/2023,11:29:04 pm,251.12
28/08/2023,11:29:34 pm,251.37
28/08/2023,11:30:04 pm,249.68
28/08/2023,11:30:34 pm,252.98
28/08/2023,11:31:04 pm,252.28
28/08/2023,11:31:34 pm,252.87
28/08/2023,11:32:04 pm,252.71
28/08/2023,11:32:34 pm,252.82
28/08/2023,11:33:04 pm,252.21
28/08/2023,11:33:34 pm,251.24
28/08/2023,11:34:04 pm,253.21
28/08/2023,11:34:34 pm,252.91
28/08/2023,11:35:04 pm,252.86
28/08/2023,11:35:34 pm,252.43
28/08/2023,11:36:04 pm,252.04
28/08/2023,11:36:34 pm,251.99
28/08/2023,11:37:04 pm,252.12
28/08/2023,11:37:34 pm,252.55
28/08/2023,11:38:04 pm,252.61
28/08/2023,11:38:34 pm,253.24
28/08/2023,11:39:04 pm,253.85
28/08/2023,11:39:34 pm,252.5
28/08/2023,11:40:04 pm,252.19
28/08/2023,11:40:34 pm,254.28
28/08/2023,11:41:04 pm,255.11
28/08/2023,11:41:34 pm,247.89
28/08/2023,11:42:04 pm,248.39
28/08/2023,11:42:34 pm,248.06
28/08/2023,11:43:03 pm,251.13
28/08/2023,11:43:34 pm,250.08
28/08/2023,11:44:04 pm,252.16
28/08/2023,11:44:34 pm,252.15
28/08/2023,11:45:04 pm,251.87
28/08/2023,11:45:34 pm,253.7
28/08/2023,11:46:04 pm,253.49
28/08/2023,11:46:34 pm,253.66
28/08/2023,11:47:04 pm,256.06
28/08/2023,11:47:34 pm,254.78
28/08/2023,11:48:04 pm,253.97
28/08/2023,11:48:34 pm,252.24
28/08/2023,11:49:04 pm,253.62
28/08/2023,11:49:34 pm,254.93
28/08/2023,11:50:04 pm,253.56
28/08/2023,11:50:34 pm,252.45
28/08/2023,11:51:04 pm,252.3
28/08/2023,11:51:34 pm,251.9
28/08/2023,11:52:04 pm,253.44
28/08/2023,11:52:34 pm,254.09
28/08/2023,11:53:04 pm,250.73
28/08/2023,11:53:34 pm,251.65
28/08/2023,11:54:04 pm,251.64
28/08/2023,11:54:34 pm,251.25
28/08/2023,11:55:04 pm,251.74
28/08/2023,11:55:34 pm,252.27
28/08/2023,11:56:04 pm,249.85
28/08/2023,11:56:34 pm,253.47
28/08/2023,11:57:04 pm,254.2
28/08/2023,11:57:34 pm,251.88
28/08/2023,11:58:04 pm,249.85
28/08/2023,11:58:34 pm,248.57
28/08/2023,11:59:04 pm,247.86
28/08/2023,11:59:34 pm,248.76
29/08/2023,12:00:04 am,250.39
29/08/2023,12:00:34 am,250.94
29/08/2023,12:01:04 am,252.06
